Word	Category
matriarch	authority_virtue
authorizer	authority_virtue
guide	authority_virtue
ordered	authority_virtue
supervised	authority_virtue
captains	authority_virtue
punisher	authority_virtue
supervises	authority_virtue
bossing	authority_virtue
commandant	authority_virtue
governor	authority_virtue
protects	authority_virtue
admiral	authority_virtue
top gun	authority_virtue
bowed	authority_virtue
dominate	authority_virtue
arrest	authority_virtue
mentored	authority_virtue
ordering	authority_virtue
submit	authority_virtue
institutional	authority_virtue
prime minister	authority_virtue
lionizes	authority_virtue
ranking	authority_virtue
boss	authority_virtue
captain	authority_virtue
by the book	authority_virtue
mentors	authority_virtue
bullies	authority_virtue
dominant	authority_virtue
arrested	authority_virtue
bossed	authority_virtue
leader	authority_virtue
rank	authority_virtue
arresting	authority_virtue
chieftain	authority_virtue
prime ministers	authority_virtue
regulation	authority_virtue
superviser	authority_virtue
dean	authority_virtue
arrests	authority_virtue
punishers	authority_virtue
bullied	authority_virtue
matriarchs	authority_virtue
controlling	authority_virtue
managerial	authority_virtue
bosses	authority_virtue
ranks	authority_virtue
controls	authority_virtue
dictation	authority_virtue
guides	authority_virtue
oligarchs	authority_virtue
principals	authority_virtue
top dog	authority_virtue
admirals	authority_virtue
caste	authority_virtue
captaining	authority_virtue
queen	authority_virtue
mentoring	authority_virtue
